model,data_idx,layer,neuron_idx,activation,layer_type
model2,175,,0,0.9949226,0-other
model2,175,features,3222,0.0,1-other
model2,175,features,9259,0.0,1-other
model2,175,features,48343,0.0,1-other
model2,175,features,41094,0.0,1-other
model2,175,features,85804,0.0,1-other
model2,175,features.0,596705,0.0,2-conv
model2,175,features.0,972575,0.0,2-conv
model2,175,features.0,1012773,0.0,2-conv
model2,175,features.0,640240,0.0,2-conv
model2,175,features.0,210057,0.0,2-conv
model2,175,features.1,360801,0.0,3-relu
model2,175,features.1,1349259,0.0,3-relu
model2,175,features.1,185501,0.0,3-relu
model2,175,features.1,988299,0.0,3-relu
model2,175,features.1,1123682,0.0,3-relu
model2,175,features.2,378526,0.0,4-maxpool
model2,175,features.2,223533,0.0,4-maxpool
model2,175,features.2,10513,0.0,4-maxpool
model2,175,features.2,169835,0.0,4-maxpool
model2,175,features.2,316858,0.0,4-maxpool
model2,175,features.3,138836,0.0,5-other
model2,175,features.3,210352,0.00071147596,5-other
model2,175,features.3,115904,0.0,5-other
model2,175,features.3,386946,0.0,5-other
model2,175,features.3,31595,0.0,5-other
model2,175,features.4,791715,0.0,6-conv
model2,175,features.4,68152,0.0,6-conv
model2,175,features.4,509470,0.0,6-conv
model2,175,features.4,301124,0.0,6-conv
model2,175,features.4,678251,0.0,6-conv
model2,175,features.5,464486,0.0,7-relu
model2,175,features.5,769135,0.0,7-relu
model2,175,features.5,775472,0.0,7-relu
model2,175,features.5,652910,0.0,7-relu
model2,175,features.5,512567,0.0,7-relu
model2,175,features.6,64159,0.017880885,8-maxpool
model2,175,features.6,155296,0.0,8-maxpool
model2,175,features.6,132422,0.0,8-maxpool
model2,175,features.6,103104,0.0,8-maxpool
model2,175,features.6,74799,0.0,8-maxpool
model2,175,features.7,163058,0.14234781,9-other
model2,175,features.7,789,0.0,9-other
model2,175,features.7,83015,0.00430474,9-other
model2,175,features.7,47899,0.0,9-other
model2,175,features.7,67364,0.085943356,9-other
model2,175,features.8,361117,0.0,10-conv
model2,175,features.8,81548,0.0,10-conv
model2,175,features.8,165760,0.0,10-conv
model2,175,features.8,267375,0.0,10-conv
model2,175,features.8,19293,0.0,10-conv
model2,175,features.9,317747,0.0,11-relu
model2,175,features.9,145190,0.0,11-relu
model2,175,features.9,16444,0.0,11-relu
model2,175,features.9,189464,0.0,11-relu
model2,175,features.9,97006,0.0,11-relu
model2,175,features.10,52063,0.0,12-maxpool
model2,175,features.10,4361,0.0,12-maxpool
model2,175,features.10,91965,0.0,12-maxpool
model2,175,features.10,10406,0.0,12-maxpool
model2,175,features.10,64174,0.0,12-maxpool
model2,175,features.11,94957,0.0,13-other
model2,175,features.11,27955,0.0,13-other
model2,175,features.11,1217,0.0,13-other
model2,175,features.11,69805,0.0,13-other
model2,175,features.11,76332,0.0,13-other
model2,175,classifier,0,0.9949226,14-other
model2,175,classifier.0,40912,0.0,15-flatten
model2,175,classifier.0,56548,0.0,15-flatten
model2,175,classifier.0,54164,0.0,15-flatten
model2,175,classifier.0,65935,0.0,15-flatten
model2,175,classifier.0,91267,0.0,15-flatten
model2,175,classifier.1,223,0.0,16-linear
model2,175,classifier.1,133,0.0,16-linear
model2,175,classifier.1,36,0.0,16-linear
model2,175,classifier.1,72,0.0,16-linear
model2,175,classifier.1,146,0.0,16-linear
model2,175,classifier.2,182,0.0,17-relu
model2,175,classifier.2,364,0.0,17-relu
model2,175,classifier.2,61,0.0,17-relu
model2,175,classifier.2,176,0.0,17-relu
model2,175,classifier.2,424,0.0,17-relu
model2,175,classifier.3,495,0.0,18-dropout
model2,175,classifier.3,299,0.0,18-dropout
model2,175,classifier.3,140,0.0,18-dropout
model2,175,classifier.3,105,0.0,18-dropout
model2,175,classifier.3,29,0.18941428,18-dropout
model2,175,classifier.4,0,5.2778673,19-linear
model2,175,classifier.5,0,0.9949226,20-sigmoid
